협재해수욕장,협재해변,064-728-3981,제주 제주시 한림읍 한림로 329-10,협재리 2447,33.3937480,126.2394319,,09:00,19:00,7월1일~8월31일까지,주차/화장실/편의점/음료대/안내시설/경보및피난시설,해수욕장
곽지해수욕장,곽지과물해수욕장,064-728-3958,제주 제주시 애월읍 곽지리,곽지리,33.4445628,126.3130931,,09:00,19:00,7월1일~8월31일까지,주차/화장실/편의점/음료대/안내시설/경보및피난시설,해수욕장
김녕해수욕장,김녕성세기해변,064-728-3988,제주 제주시 구좌읍 구좌해안로 237,김녕리 4330,33.5572081,126.7365512,,09:00,19:00,7월1일~8월31일까지,주차/화장실/편의점/음료대/안내시설/경보및피난시설,해수욕장
절물자연휴양림,,064-728-1510,제주 제주시 명림로 584,봉개동 산78-37,33.4400488,126.6252034,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030053,09:00,18:00,입장료면제(만 6세 이하 또는 만65세 이상인 사람)/다자녀가정30%할인,주차/약수터/연못/잔디광장/세미나실/산책로,휴양림
노루생태관찰원,,064-728-3611,제주 제주시 명림로 520,봉개동 산51-2,33.4443239,126.6266893,,09:00,18:00,09:00 - 18:00(3월~10월)/09:00 - 17:00(11월~2월),주차/와이파이/화장실/음료대/유도및안내시설,공원
제주별빛누리공원,,064-728-8900,제주 제주시 선돌목동길 60 ,오등동 10-34,33.4445761,126.5491861,http://www.jejusi.go.kr/star/main.do,14:00,22:00,14:00 - 22:00(10월~3월)/15:00 - 23:00(4월~9월)/월요일휴무,주차/예약/와이파이/유아시설(놀이방)/남녀화장실구분/장애인편의시설,공원
천지연폭포,,064-733-1528,제주 서귀포시 남성중로 2-15,서홍동 666-1,33.2447168,126.5595511,,09:00,21:00,입장마감21:20,주차/화장실/음료대/유도및안내시설/경보및피난시설,폭포
정방폭포,,064-733-1530,제주 서귀포시 칠십리로2 14번길 37,동홍동 278,33.2447480,126.5730501,,09:00,18:00,매일 09:00 - 18:00(일몰시간에 따라 변경가능),주차/화장실/편의점/음료대/유도및안내시설/경보및피난시설,폭포
중문대포주상절리대,중문대포해안,064-738-1521,제주 서귀포시 이어도로 36-30,제주 서귀포시 중문동 2768-1,33.2379944,126.4260177,,09:00,18:00,연중무휴,현금결제/카드결제주차/편의점/음료대/유도및안내시설/경보및피난시설,기념물
천제연폭포,선임교,064-760-6331,제주 서귀포시 천제연로 132,중문동 2232,33.2526755,126.4183742,,09:00,18:00,매일 09:00 - 18:00(일몰시간에 따라 변경가능),주차/현금결제/카드결게,폭포
산방산,,064-794-2940,제주 서귀포시 안덕면 사계리산 16,사계리 산16,33.2423924,126.3139508,,09:00,18:00,평일 : 08:30 ~ 18:00/주말 : 08:00 ~ 18:00,주차/현금결제/카드결제/화장실/편의점/음료대/유도및안내시설,산
용머리해안,,064-760-6321,제주 서귀포시 안덕면 사계리 118,사계남로216번길 28,33.2338565,126.3111194,,09:00,17:00,만조 및 기상악화시 통제,주차/화장실/유도및안내시설,해변
감귤박물관,,064-767-3010,제주 서귀포시 효돈순환로 441,신효동 1200-6,33.2715930,126.6074285,,09:00,19:00,1월1일 휴관/설날 휴관/추석 휴관,주차/남녀화장실구분,박물관
국제평화센터,,064-735-6550,제주 서귀포시 중문관광로 227-24,중문동 2574,33.2443884,126.4220223,http://www.ipcjeju.com/,09:00,18:00,17:30 입장마감,주차/와이파이/화장실/장애인편의시설,전시관
김만덕기념관,,064-759-6090,제주 제주시 산지로 7 ,건입동 1164,33.5158750,126.5303913,http://www.mandukmuseum.or.kr/,09:00,18:00,월요일 휴무/1월1일 휴무/설날 휴무/추석 휴무,엘리베이터,기념관
제주도립미술관,,064-710-4300,제주 제주시 1100로 2894-78,연동 680-7,33.4525500,126.4896861,http://jmoa.jeju.go.kr/kor/,09:00,18:00,월요일 휴무/1월1일 휴무/설날 휴무/추석 휴무,주차/화장실,미술관
현대미술관,,064-710-7801,제주 제주시 한경면 저지 14길 35,저지리 2114-63,33.3396929,126.2656919,http://www.jejumuseum.go.kr/kor/,09:00,19:00,매일 09:00 - 18:00(10월-6월)/매일 09:00 - 19:00(7월-9월)/월요일 휴무/1월1일 휴무/명절 휴관,주차/현금결제/카드결제/화장실/와이파이/음료대/유도및안내시설/경보및피난시설,미술관
김창열미술관,,064-710-4150,제주 제주시 한림읍 용금로 883-5,월림리 115-23,33.3390713,126.2686717,http://kimtschang-yeul.jeju.go.kr/kimArt/mainView.do,09:00,18:00,월요일 휴무/1월1일 휴무/설날 휴무/추석 휴무,주차/현금결제/카드결제/화장실/와이파이/유도및안내시설/경보및피난시설,미술관
민속자연사박물관,,064-710-7708,제주 제주시 삼성로 40,일도이동 996-1,33.5056304,126.5317241,https://www.jeju.go.kr/museum/index.htm,09:00,18:00,입장마감17:30/월요일 휴무,주차/남녀화장실구분,박물관
만장굴,,064-710-7903,제주 제주시 구좌읍 만장굴길 182,월정리 산41-5,33.5283774,126.7716158,,09:00,18:00,입장마감17:00/수요일 휴무/매달 첫번째 수요일 휴무,주차/현금결제/카드결제/와이파이/화장실/편의점/음료대,동굴
비자림,,064-710-7912,제주 제주시 구좌읍 비자숲길 55,평대리 3161-1,33.4910973,126.8114612,,09:00,18:00,입장마감17:00/연중무휴/애완동물 또는 음식물 일체 반입 금지,주차/현금결제/카드결제/화장실/와이파이,휴양림
성산일출봉,,064-783-0959,제주 서귀포시 성산읍 일출로 284-12,성산리 114,33.4622338,126.9368007,,07:00,20:00,입장마감19:00,주차/현금결제/카드결제/화장실/와이파이/편의점/음료대/유도및안내시설/경보및피난시설/임산부휴게시설,봉우리
세계자연유산센테,거문오름,064-710-8980,제주 제주시 조천읍 선교로 569-36,선흘리 478,33.4569199,126.7147521,http://www.jeju.go.kr/wnhcenter/index.htm,09:00,18:00,매월 첫째 화요일 휴관/설날 휴관/추석 휴관,주차/현금결제/카드결제/화장실/와이파이/편의점/음료대/유도및안내시설/경보및피난시설/임산부휴게시설/엘리베이터,박물관
제주돌문화공원,,064-710-7731,제주 제주시 조천읍 남조로 2023,교래리 산95,33.4513646,126.6567110,http://www.jeju.go.kr/jejustonepark/index.htm,09:00,18:00,애월 첫째 월요일 휴무,주차/현금결제/카드결제/화장실/편의점/음료대/임산부휴게시설,공원
교래자연휴양림,,064-710-7475,제주 제주시 조천읍 남조로 2023,교래리 119,33.4513646,126.6567110,http://www.jeju.go.kr/jejustoneparkforest/index.htm,09:00,16:00,매일 07:00 - 16:00(하절기)/매일 07:00 - 15:00(동절기),주차/현금결제/카드결제/화장실/편의점/음료대/유도및안내시설/엘리베이터,휴양림
제주해녀박물관,,064-782-9898,제주 제주시 구좌읍 해녀박물관길 26,하도리 3204-1,33.5236099,126.8634256,http://www.jeju.go.kr/haenyeo/index.htm,09:00,18:00,입장마감17:00/어린이해녀관 09:00~17:00/매주 월요일 휴무/설날 휴무/추석 휴무/1월1일 휴무,주차/현금결제/카드결제/화장실/와이파이/음료대/유도및안내시설/경보및피난시설/임산부휴게시설/엘리베이터,박물관
항일기념관,,064-783-2008,제주 제주시 조천읍 신북로 303,조천리 1156,33.5410273,126.6407255,http://www.jeju.go.kr/hangil/index.htm,09:00,18:00,1월1일 휴관/설날 휴관/추석 휴관,주차/화장실/와이파이/음료대/유도및안내시설/경보및피난시설/엘리베이터,기념관
제주유리박물관,,064-792-6262,제주 서귀포시 중산간서로 1403,상예동 4303,33.2785139,126.3701574,http://www.glassmuseum.co.kr/,10:00,22:00,입장마감 20:00,주차장/현금결제/카드결제/화장실/음료대/유도및안내시설/경보및피난시설,박물관
백년초농장박물관,,064-739-1777,제주 서귀포시 태평로 200,호근동 310-3,33.2446746,126.5438914,http://www.jeju300.com/,09:00,17:00,연중무휴,주차장/현금결제/카드결제/와이파이/화장실,박물관
문예회관,,064-710-7632,제주 제주시 동광로 69,일도이동 852,33.5044440,126.5351724,http://www.jeju.go.kr/jejuculture/index.htm,00:00,00:00,,주차장,박물관
제주목관아,,064-710-6714,제주 제주시 관덕로 25,삼도이동 1045-1,33.5140017,126.5218039,http://www.jeju.go.kr/mokkwana/index.htm,09:00,18:00,입장마감17:30,주차/현금결제/카드결제/화장실/와이파이/유도및안내시설/경보및피난시설,문화재
삼양동선사유적지,,064-710-6806,제주 제주시 선사로2길 13,삼양일동 1660-5,33.5235046,126.5879995,,09:00,18:00,무료,주차/화장실/와이파이/음료대/경보및피난시설,문화유적지
항몽유적지,,064-710-6720,제주 제주시 애월읍 항파두리로 50,상귀리 1012,33.4517705,126.4074349,http://www.jeju.go.kr/hangpadori/index.htm,08:30,18:00,매일 08:30 - 18:00(하절기)/매일 09:00 - 17:00(동절기),주차/화장실/와이파이/음료대/유도및안내시설/경보및피난시설,문화유적지
우도해양도립공원,,064-782-5671,제주 제주시 우도면 삼양고수물길 1,연평리 904-1,33.5194720,126.9510167,,00:00,00:00,장애인 무료(선박료 별도),주차/화장실/편의점/음료대,공원
마라해양도립공원,,064-760-4014,제주 서귀포시 대정읍 마라로 101번길 46,가파리 600,33.1186079,126.2672950,http://www.jejumarado.com/,00:00,00:00,,화장실,공원
서귀포해양도립공원,,064-760-2911,제주 서귀포시 남성로 128번길 13,서홍동 731-2,33.2417764,126.5559679,,00:00,00:00,무료,,공원
제주 불빛정원,,064-799-6996,제주 제주시 애월읍 평화로 2346,유수암리 1083,33.4225978,126.4089654,http://www.rosestar.kr/,17:00,23:00,연중무휴,현금결제/카드결제/화장실,테마파크
서귀포자연휴양림,산림휴양림,064-738-4544,제주 서귀포시 영실로 226,하원동 산1-1,33.3386324,126.4791729,http://healing.seogwipo.go.kr/index.htm,09:00,17:30,일반입장료 : 1000원/장애인입장료 : 무료,주차/현금결제/카드결제/화장실/와이파이/편의점/음료대/유도및안내시설/경보및피난시설/흡연구역,휴양림
붉은오름자연휴양림,,064-760-3481,제주 서귀포시 표선면 남조로 1487-73,가시리 158,33.4014288,126.6756706,http://healing.seogwipo.go.kr/redforest/redintro.htm,09:00,18:00,일반입장료 : 1001원/장애인입장료 : 무료,주차/현금결제/카드결제/화장실/와이파이/편의점/음료대/유도및안내시설/경보및피난시설,휴양림
치유의숲,,064-760-3067,제주 서귀포시 산록남로 2271,호근동 산4,33.2919386,126.5279023,http://healing.seogwipo.go.kr/healing/healingintro.htm,00:00,00:00,일반입장료 : 1002원/장애인입장료 : 무료,주차/화장실,산책로
이중섭미술관,,064-760-3567,제주 서귀포시 이중섭로 27-3,서귀동 532-1,33.2458616,126.5648746,http://culture.seogwipo.go.kr/jslee/index.htm,09:00,18:00,월요일휴무,주차/현금결제/카드결제/화장실/와이파이/유도및안내시설/경보및피난시설,미술관
기당미술관,,064-733-1586,제주 서귀포시 남성중로 153번길 15,서홍동 621,33.2448476,126.5511958,http://culture.seogwipo.go.kr/gidang/index.htm,09:00,18:00,7~9월 20:00까지/월요일휴무/신정휴무/명졀휴무,주차/현금결제/카드결제/화장실/와이파이/음료대/유도및안내시설/경보및피난시설,미술관
